"x","y",""
-88.82,18.04,NA
-88.79,18.04,NA
-88.76,18.04,NA
-88.73,18.04,NA
-88.7,18.04,NA
-88.67,18.04,NA
-88.64,18.04,NA
-88.61,18.04,NA
-88.58,18.04,NA
-88.55,18.04,NA
-88.52,18.04,NA
-88.49,18.04,NA
-88.46,18.04,0.45
-88.43,18.04,0.18
-88.4,18.04,NA
-88.37,18.04,15.3
-88.34,18.04,198.81
-88.31,18.04,4.32
-88.28,18.04,203.4
-88.25,18.04,3.6
-88.22,18.04,38.88
-88.19,18.04,38.88
-88.16,18.04,698.31
-88.13,18.04,57.24
-88.1,18.04,NA
-88.07,18.04,NA
-88.04,18.04,NA
-88.01,18.04,48.87
-87.98,18.04,NA
-87.95,18.04,24.57
-87.92,18.04,47.97
-87.89,18.04,147.96
-87.86,18.04,NA
-87.83,18.04,NA
-87.8,18.04,NA
-87.77,18.04,NA
-87.74,18.04,NA
-87.71,18.04,NA
-87.68,18.04,NA
-87.65,18.04,NA
-87.62,18.04,NA
-87.59,18.04,NA
-87.56,18.04,NA
-87.53,18.04,NA
-87.5,18.04,NA
-87.47,18.04,NA
-87.44,18.04,NA
-87.41,18.04,NA
-88.97,18.01,NA
-88.94,18.01,NA
-88.91,18.01,NA
-88.88,18.01,NA
-88.85,18.01,NA
-88.82,18.01,NA
-88.79,18.01,NA
-88.76,18.01,NA
-88.73,18.01,NA
-88.7,18.01,NA
-88.67,18.01,NA
-88.64,18.01,NA
-88.61,18.01,NA
-88.58,18.01,NA
-88.55,18.01,NA
-88.52,18.01,NA
-88.49,18.01,NA
-88.46,18.01,NA
-88.43,18.01,NA
-88.4,18.01,NA
-88.37,18.01,3.96
-88.34,18.01,312.75
-88.31,18.01,25.74
-88.28,18.01,322.74
-88.25,18.01,31.59
-88.22,18.01,62.46
-88.19,18.01,62.46
-88.16,18.01,265.95
-88.13,18.01,NA
-88.1,18.01,NA
-88.07,18.01,NA
-88.04,18.01,12.06
-88.01,18.01,NA
-87.98,18.01,NA
-87.95,18.01,42.93
-87.92,18.01,127.35
-87.89,18.01,38.16
-87.86,18.01,NA
-87.83,18.01,NA
-87.8,18.01,NA
-87.77,18.01,NA
-87.74,18.01,NA
-87.71,18.01,NA
-87.68,18.01,NA
-87.65,18.01,NA
-87.62,18.01,NA
-87.59,18.01,NA
